County_ID,County_Name,Per_Capita_Income,Percent_FRL,Latitude,Longitude
605,Baldwin County,"36,399.00",92.88,33.081466,-83.228206
631,Clayton County,"32,702.00",92.55,33.506014,-84.357362
633,Cobb County,"63,214.00",39.14,33.962944,-84.544548
634,Coffee County,"35,507.00",87.34,31.508705,-82.850724
635,Colquitt County,"37,418.00",86.21,31.190741,-83.789843
644,DeKalb County,"56,428.00",68.56,33.774350,-84.297124
650,Echols County,"31,945.00",91.26,30.703350,-83.027601
658,Forsyth County,"67,859.00",13.68,34.206598,-84.138697
660,Fulton County,"95,683.00",42.17,33.758231,-84.391101
667,Gwinnett County,"46,886.00",50.30,33.966996,-83.994210
683,Johnson County,"27,965.00",94.38,32.730663,-82.719275
692,Lowndes County,"41,117.00",43.76,30.841890,-83.278880
699,Meriwether County,"39,121.00",88.02,33.029043,-84.713045
703,Montgomery County,"34,061.00",94.83,32.174174,-82.594652
750,Washington County,"39,151.00",85.62,32.983578,-82.811602
757,Wilkes County,"42,093.00",94.17,33.746467,-82.740314
