County_Name,Store_Name,Store_Lat,Store_Long,Store_Address,Store_PlaceID
Baldwin County,Family Dollar,33.0550312,-83.2393115,"355 Allen Memorial Drive, Milledgeville",ChIJpUDdw1vJ9ogReo5URShyfMA
Clayton County,Family Dollar,33.5834202,-84.31368839999999,"2350 Lake Harbin Road, Morrow",ChIJaV_fEtb-9IgRnuo4JeMnKAI
Clayton County,Family Dollar,30.8367512,-83.317776,"964 Saint Augustine Road, Valdosta",ChIJc4T_1L9m7ogRI7Ht7rcBbC4
Clayton County,Family Dollar,30.8561498,-83.2802432,"1905 North Ashley Street, Valdosta",ChIJyQ6q_whn7ogRlOmWjkS-eQk
Clayton County,Family Dollar,33.5811233,-84.4719009,"6385 Old National Highway, Atlanta",ChIJe6LPrILk9IgR-dySV--a3Ls
Clayton County,Family Dollar,30.8823,-83.2663,"3820 Inner Perimeter Road, Valdosta",ChIJawTapexn7ogRWCmZicGu4ag
Clayton County,Family Dollar,33.72567699999999,-82.718119,"164 Bi-Lo Plaza, Washington",ChIJlYwf8G2l94gRxbbIZSoRgvw
Clayton County,Family Dollar,32.7321015,-82.7218584,"212 West Trilby Street, Wrightsville",ChIJBQHZVSvO8IgRMe3LlKPs378
Clayton County,Family Dollar,33.4524057,-84.3253613,"11108 Tara Boulevard, Lovejoy",ChIJaxiUzhX39IgRWxySNUd0818
Clayton County,Family Dollar,32.17286349999999,-82.5937582,"601 South Mason Street, Mount Vernon",ChIJTZX5WgX18IgRGfc859Ze39A
Johnson County,Family Dollar,32.7321015,-82.7218584,"212 West Trilby Street, Wrightsville",ChIJBQHZVSvO8IgRMe3LlKPs378
Johnson County,Family Dollar,32.17286349999999,-82.5937582,"601 South Mason Street, Mount Vernon",ChIJTZX5WgX18IgRGfc859Ze39A
Johnson County,Family Dollar,30.8823,-83.2663,"3820 Inner Perimeter Road, Valdosta",ChIJawTapexn7ogRWCmZicGu4ag
Montgomery County,Family Dollar,33.5811233,-84.4719009,"6385 Old National Highway, Atlanta",ChIJe6LPrILk9IgR-dySV--a3Ls
Montgomery County,Family Dollar,32.17286349999999,-82.5937582,"601 South Mason Street, Mount Vernon",ChIJTZX5WgX18IgRGfc859Ze39A
Montgomery County,Family Dollar,32.7321015,-82.7218584,"212 West Trilby Street, Wrightsville",ChIJBQHZVSvO8IgRMe3LlKPs378
Lowndes County,Family Dollar,30.8561498,-83.2802432,"1905 North Ashley Street, Valdosta",ChIJyQ6q_whn7ogRlOmWjkS-eQk
Lowndes County,Family Dollar,30.8823,-83.2663,"3820 Inner Perimeter Road, Valdosta",ChIJawTapexn7ogRWCmZicGu4ag
Lowndes County,Family Dollar,30.8367512,-83.317776,"964 Saint Augustine Road, Valdosta",ChIJc4T_1L9m7ogRI7Ht7rcBbC4
Lowndes County,Family Dollar,32.7321015,-82.7218584,"212 West Trilby Street, Wrightsville",ChIJBQHZVSvO8IgRMe3LlKPs378
Wilkes County,Family Dollar,33.72567699999999,-82.718119,"164 Bi-Lo Plaza, Washington",ChIJlYwf8G2l94gRxbbIZSoRgvw
